saleyear,salemonth,salesprice,area,beds,baths,stories,yearbuilt,neighborhood,community,lotsize,numfireplaces,fireplace
2006,6,256801.9029,2556,3,1,1,1948,Hale,Nokomis,7615,1,TRUE
2006,7,247785.5101,2056,2,1,1.2,1917,Folwell,Camden,5587,0,FALSE
2009,11,189895.8727,1248,2,1,1.5,1912,Longfellow,Longfellow,5120,0,FALSE
2006,12,213619.4341,2128,2,1,1.7,1922,Folwell,Camden,7646,0,FALSE
2008,3,229380.3531,2384,3,2,1.2,1921,Howe,Longfellow,5600,0,FALSE
2005,11,374827.4205,1950,3,1,1.5,1926,Fulton,Southwest,5418,1,TRUE
2015,6,300885.2523,2028,3,3,2,1924,Bancroft,Powderhorn,3913,1,TRUE
2010,7,177723.8574,1696,2,1,1.5,1906,Corcoran,Powderhorn,6840,0,FALSE
2010,11,319359.388,2482,4,3,1.7,1910,Audubon Park,Northeast,5080,0,FALSE
2014,5,245071.9861,2376,4,1,2,1916,Bryant,Powderhorn,4756,1,TRUE
2011,9,156007.2035,2285,3,1,1.2,1929,Victory,Camden,5122,0,FALSE
2012,7,172566.9189,1949,3,1,1.7,1905,Como,University,4960,0,FALSE
2012,12,172833.4364,1530,2,1,1.5,1916,Howe,Longfellow,5207,0,FALSE
2006,4,134885.5007,2101,3,1,1.2,1917,Folwell,Camden,5030,0,FALSE
2011,9,133123.5983,1924,3,1,1.7,1908,Howe,Longfellow,3615,0,FALSE
2014,6,288003.5071,2467,3,2,1.5,1939,Keewaydin,Nokomis,5960,1,TRUE
2014,2,240806.6331,2398,3,2,1.2,1919,King Field,Southwest,5292,1,TRUE
2011,4,213997.153,1860,3,1,1.2,1952,Armatage,Southwest,5080,1,TRUE
2007,5,423980.8469,3158,4,3,2.5,1905,Lyndale,Powderhorn,7327,1,TRUE
2007,6,202667.1762,1338,1,1,1.2,1923,Morris Park,Nokomis,5120,0,FALSE
2015,6,123673.7651,1740,2,1,1.7,1924,Webber - Camden,Camden,5748,0,FALSE
2014,4,254042.7965,2922,4,2,1.5,1924,Longfellow,Longfellow,4992,0,FALSE
2006,10,343509.9356,2474,3,2,1.2,1939,Diamond Lake,Nokomis,5955,1,TRUE
2012,8,599934.9333,3147,5,2,2.5,1915,Tangletown,Southwest,11590,2,TRUE
2007,1,760404.4495,2838,4,5,2.2,1900,East Isles,Calhoun-Isles,4200,1,TRUE
2013,5,185674.4619,1828,5,2,1,1993,Central,Powderhorn,5200,0,FALSE
2011,6,270088.6631,1944,3,2,1.5,1950,Audubon Park,Northeast,5080,1,TRUE
2006,5,297016.3219,2495,3,2,1.7,1920,Windom,Southwest,5120,0,FALSE
2015,5,180584.8245,1361,2,2,1.5,1907,King Field,Southwest,5280,0,FALSE
2006,8,358651.1482,2121,4,2,1.2,1926,Fulton,Southwest,5040,1,TRUE
2006,6,383286.4222,2540,2,2,1,1953,Seward,Longfellow,8750,2,TRUE
2015,9,201918.6014,1496,2,2,1,1951,Wenonah,Nokomis,5120,0,FALSE
